id,name,host_id,host_name,neighborhood,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count,availability_365
14473048,Modern Loft House in Trendy NE Neighborhood,26168182,Polly,King,45.55355603036894,-122.6563497119792,Entire home/apt,125,3,1,0
4136602,Artist's Garden Retreat,16708727,Nell,King,45.56243303275104,-122.65645527848312,Entire home/apt,85,277,1,294
5127548,Sweet Suite in Alberta Neighborhood,7630516,Linda & Missy,King,45.55893945745999,-122.66348520105929,Entire home/apt,75,78,1,157
3915593,NE Alberta; King Ensuite Room w TV & Central Air,2200710,Laurent,King,45.56073035785994,-122.65981516091145,Private room,70,34,3,83
12508461,Alberta Arts retro fun studio apt.,45543392,Melissa,King,45.56029293727399,-122.6584303056283,Entire home/apt,80,49,1,155
801318,Amazing & modern for large groups,1150082,Michelle,King,45.5596568209908,-122.6515481507828,Entire home/apt,250,54,4,267
9770224,"HIP, NEW HOME IN PORTLAND HOT SPOT!",7858592,Dana,King,45.55990262983625,-122.65867752964412,Entire home/apt,150,23,1,353
8036201,Modern home Alberta Arts district,27241109,Carolyn,King,45.560905689389756,-122.6548615667648,Private room,75,32,1,365
7264533,Cozy Room in Alberta Arts,38033791,Jessica,King,45.5607574241234,-122.65899881322436,Private room,45,34,1,16
3510045,Bright Plant Filled Studio,17672821,Peter & Alea,King,45.5547468419973,-122.65467743657629,Entire home/apt,90,161,1,330
7804446,Charming Home in NE Portland,41082680,Michelle,King,45.548450001410465,-122.65586002899236,Entire home/apt,175,81,1,335
4873994,"Cozy bedroom with private bath, near airport",25074005,Stephanie,King,45.562857518327405,-122.65871125801958,Private room,65,9,1,355
8087724,Dock loft,8370365,Carla,King,45.54955354382302,-122.66322562343109,Private room,40,0,3,0
5299031,Alberta Arts Craftsman Private Room,27447858,Christine,King,45.561618062463964,-122.65815271046768,Private room,65,86,2,34
4436750,Cozy Close-In NE Cottage,23029142,Alison,King,45.554486002953645,-122.66015959119464,Entire home/apt,98,90,1,170
5499989,Alberta Arts Bungalow with hot tub!,7399864,Jill,King,45.55712150393354,-122.6519968180037,Entire home/apt,185,57,1,0
5763394,"Cozy Room, Alberta Arts, NE PDX",20045413,Cheryl,King,45.56066559197143,-122.65433243282442,Private room,34,45,1,207
9506971,Close In Designer Alberta Bungalo,1886383,Eric,King,45.55758437891584,-122.65712528288343,Entire home/apt,120,21,2,37
12496276,Charming House in Arts District,67666383,Alice,King,45.5577893724429,-122.6517815298865,Entire home/apt,155,2,1,0
13127022,"Updated basement apartment, close in NE Portland",8119693,Anna,King,45.565089855856364,-122.65595719345795,Entire home/apt,79,31,1,344
1403911,Close-to-Everything Townhouse,7174224,Seth,King,45.5492187742432,-122.65829422538866,Entire home/apt,71,19,2,114
6523258,♥ Spacious NE Home - Dogs Welcome!,21060164,Jon,King,45.55554658587166,-122.65463631112834,Entire home/apt,179,37,1,0
2471799,✳ Bright French Inspired Bedroom ✳ ,10458648,Dar,King,45.56460912002871,-122.66361669136879,Private room,72,143,1,193
16255848,Alberta Bungalow Alley,87846461,Evan,King,45.55601889874885,-122.65322161034037,Entire home/apt,175,5,1,49
2458957,Industrial-Chic Alberta Arts Home,12483794,Kurt & Ginger,King,45.55634611998022,-122.655603744836,Entire home/apt,195,46,1,365
1254525,Sunny House in the Heart of Alberta,6834395,Mary,King,45.56138404765273,-122.65406985742406,Entire home/apt,250,33,2,18
12230837,Loft In Heart of Alberta Arts Distr,18563321,Hank,King,45.55949134039157,-122.65527356808941,Entire home/apt,99,9,1,86
678642,Great Light-filled Alberta Arts Rm,2236909,Shane,King,45.5592118973421,-122.65634299181328,Private room,43,74,6,151
15855439,Airbnb spot in Portland!,16838446,Dallas,King,45.56520923388115,-122.66215679802052,Private room,48,8,1,70
3263049,Private Loft ideal location,15190073,Nina And Donald,King,45.56241023774485,-122.66263010203795,Private room,90,74,2,214
1046001,Alberta Arts Custom Basement Room,2236909,Shane,King,45.561377590435285,-122.65826140626804,Private room,48,52,6,130
5407431,The Petite Bali 1BR in hip cool NEPO,27930414,Timothy,King,45.55106423919697,-122.6621680219694,Private room,67,199,6,346
7898365,"Warm, Bright Room - Hip Location!",19262907,Alicia,King,45.554525473058604,-122.66333326541714,Private room,60,59,1,365
4358403,Guest Room in the Heart of Alberta,6834395,Mary,King,45.561496421918456,-122.6546809892465,Private room,80,21,2,365
1036430,Bright room with private bathroom,2062422,Andrea,King,45.56507764347246,-122.65868624516372,Private room,55,102,1,361
5407255,Pleasant 1BR in hip cool NEPO,27930414,Timothy,King,45.55252220172776,-122.66125349828418,Private room,78,193,6,360
16231539,Comfortable and quiet room in Alberta Arts,21534198,Jacob,King,45.55492799249068,-122.65516903642524,Private room,40,0,1,1
6052917,"Comfy, Light-filled Room With Charm",2828004,Lota,King,45.56419296559853,-122.66031644776623,Private room,52,33,1,90
6555856,Fully furnished bright basement,15190073,Nina And Donald,King,45.56121021535519,-122.66198183415337,Private room,90,0,2,0
497949,Food Lovers Dream in Inspired House,2458289,Emily And Adam,King,45.55212041206038,-122.65893098300995,Private room,88,111,2,351
