id,name,host_id,host_name,neighborhood,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
1242928,"Modern Loft, Condo in NE Portland (30-day minimum)",6774413,Duane,Humboldt,45.55856,-122.66766000000001,Entire home/apt,100,99,1
1242968,Bright and Creative Near Downtown!,6416589,Adam And Arthur,Boise,45.553000000000004,-122.6766,Private room,70,579,5
1243615,Captain's Bed at SW PDX Cottage ,1996078,Sally K,Marshall Park,45.45847,-122.69122,Private room,85,4,3
1250645,Aloha Cottage/Alberta Area NO CLEANING FEE,6235676,Megan,Concordia,45.55653,-122.63113,Entire home/apt,60,109,1
1261196,♟ Vintage Portland Home - 5 minutes to downtown!,234549,Kerry,Kerns,45.52483,-122.64333,Entire home/apt,189,225,1
1268133,The Studio at the Garden Oasis,2948538,Colin And Medina,Sabin,45.5502,-122.65491999999999,Entire home/apt,85,51,3
1275890,Hawthorne-Division/Tabor Private Entrance & Bath,6939563,Serron & Rich,Richmond,45.50827,-122.6138,Private room,59,180,1
1280971,Cozy Room In Home away Home,6800964,Isil,Northwest Heights,45.53539,-122.75788,Private room,50,15,2
1288320,Thompson Hideaway - walk to Convention Center,5037209,Pamela,Eliot,45.53995,-122.66264,Entire home/apt,70,373,1
1292701,Downtown PDX Private Victorian Hideaway( sleeps 4),7029321,Foad,South Portland,45.50593,-122.68428999999999,Entire home/apt,80,295,1
1297869,5th Ave Townhouse,7055900,Saadi,Portland Downtown,45.50947,-122.68195,Entire home/apt,350,346,1
1313694,The Green Fairy Mississippi/Williams,6153335,Sonia,Boise,45.5517,-122.67208000000001,Entire home/apt,125,110,2
1323488,Deluxe Apartment Studio & Jacuzzi,6379380,Julio,Brentwood-Darlington,45.46802,-122.60163999999999,Entire home/apt,98,183,2
