id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
93613,Sunny Queen Room FUN Alberta Arts,501715,Teresa,,Sabin,45.5548,-122.6516,Private room,43,5,62,2017-08-14,0.62,5,349
94500,Room in Vintage Alberta Bungalow,499386,James,,Beaumont-Wilshire,45.55748,-122.63038,Private room,59,2,169,2019-10-14,1.61,1,180
95313,Warm + Cozy Apt nr Dining/Alberta/Bus,507756,Andrée,,Woodlawn,45.5737,-122.65064,Entire home/apt,69,1,471,2019-12-09,4.48,4,72
99355,Beautiful Apt near City Center!,523311,Mark,,Irvington,45.53895,-122.65156,Entire home/apt,165,1,157,2019-12-16,1.64,2,269
114086,Bright Friendly Home- Alberta Arts,501715,Teresa,,Sabin,45.55484,-122.65114,Private room,23,30,65,2019-09-01,0.63,5,179
115681,Piedmont Cottage on Peninsula Park,585047,Heather & Topher,,Piedmont,45.56741,-122.67257,Entire home/apt,83,30,262,2019-11-23,2.52,3,166
117969,Beautiful Newly-Remodeled Apartment,589016,Steve,,Richmond,45.50988,-122.6313,Entire home/apt,85,2,210,2019-12-28,3.75,1,168
131088,Second floor garden apartment ,2513602,Jeannette,,Cully,45.56028,-122.6171,Entire home/apt,81,2,65,2019-09-01,0.84,2,308
140614,Bright bsmt apartment near Alberta,491587,Jeanne,,Concordia,45.56577,-122.64088,Private room,65,4,61,2019-09-04,0.59,2,363
143483,Garden Hideaway near City Center!,523311,Mark,,Irvington,45.54029,-122.65006,Entire home/apt,99,1,98,2019-09-27,0.99,2,331
145199,"Upstairs, studio with bath, fridge",683139,Amy,,Montavilla,45.53008,-122.59075,Private room,65,3,74,2019-10-22,0.71,1,364
173868,Pearl District / NW Portland Condo,830383,Colette,,Northwest District,45.52953,-122.68931,Entire home/apt,150,183,23,2017-11-20,0.22,1,324
182450,"Luminous, Cosy Home near lively SE Division Street",52505,Judy,,Richmond,45.50522,-122.63277,Entire home/apt,76,3,22,2019-09-19,0.25,2,56
182465,Great Breakfast next to lively Division St,52505,Judy,,Richmond,45.50754,-122.63268,Private room,59,2,314,2019-12-14,3.07,2,146
195632,Foodie's Paradise & Everyone's Playground!,659137,Anjali,,Boise,45.5528,-122.67729,Entire home/apt,128,3,77,2019-10-14,0.76,1,79
199683,"Authentic Portland Flavor, Central!",975606,Leo,,Rose City Park,45.54419,-122.60362,Private room,49,30,43,2019-09-07,0.47,2,364
204002,NW Nob Hill Serene City Bedroom,1001311,Alleyn,,Northwest District,45.53445,-122.70696,Private room,75,1,498,2019-12-01,4.91,4,0
205616,Entire Home + Cottage • A Painted Lady Inn • 6 Bed,1011157,Jody,,Irvington,45.53745,-122.64932,Entire home/apt,459,1,80,2019-11-12,1.38,7,127
213228,"Sweet 2 Room Suite, Private, Quiet",1099616,Abraham,,Arbor Lodge,45.56781,-122.67923,Private room,39,2,108,2019-12-11,1.07,2,28
213600,Clinton neighborhood cottage,37875,Rachelle,,Hosford-Abernethy,45.50567,-122.64548,Entire home/apt,124,2,194,2019-11-29,3.52,1,28
217607,One Bedroom Artists Loft - Close to EvErYtHiNg,971012,CoCo,,Old Town/Chinatown,45.52712,-122.67564,Entire home/apt,160,20,48,2019-08-27,0.48,2,318
218708,"Amazing Location in NE, Opal 28 - King Suite #3",6313800,Margot,,Kerns,45.52184,-122.63538,Entire home/apt,155,2,465,2019-12-31,4.62,8,172
222298,"Blues,brews,and bicycle guesthouse",1153902,Taizz,,Overlook,45.55821,-122.69223,Private room,65,2,95,2019-10-07,0.95,3,178
229291,NW Nob Hill Neighborhood Bedroom,1001311,Alleyn,,Northwest District,45.53351,-122.70633,Private room,65,1,724,2019-12-15,7.19,4,0
231732,"large, sunny room in farmhouse",1153902,Taizz,,Overlook,45.55816,-122.69143,Private room,30,30,44,2019-12-04,0.49,3,338
231734,"Private, sunny room in farmhouse",1153902,Taizz,,Overlook,45.55771,-122.68994,Private room,65,2,29,2019-12-21,0.30,3,315
236108,Large COMFY Room in Alberta Arts,501715,Teresa,,Sabin,45.55588,-122.64765,Private room,28,2,58,2019-10-01,0.62,5,365
243905,"Sunny, Modern Home in SE Portland",943675,Marisa,,Brooklyn Action Corps,45.49386,-122.64937,Entire home/apt,125,5,25,2019-10-14,0.39,1,128
249526,Rosebud Room,1307164,Hilary,,Hosford-Abernethy,45.50821,-122.64473,Private room,48,2,399,2019-12-15,4.10,2,69
259912,"Private ENTRY-BATH-TWO BEDS/deck, river views-WOW!",1362006,Gracie And David,,Cathedral Park,45.59228,-122.76218,Private room,45,2,94,2019-10-08,1.36,1,70
267409,Pretty SW  Garden Apt. w Hot Tub,79786,Ken,,Hayhurst,45.48256,-122.71935,Entire home/apt,100,31,8,2016-02-01,0.09,3,333
